Epoch,Update Target Network,Training Iter,Episode #,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,126.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,0.003413677215576172,,,,,,,,,3871.778056916736,2105.2318778443096,7395.788280487061,75.38070678710938,0.0001,0.0,0.0001,0.0001,21.60458755493164,6.161581516265869,41.975318908691406,12.24449348449707,,,,,-1.381518840789795,3.2383081912994385,10.0,-14.463942527770996
2,1.0,252.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,0.6315221786499023,,,,-1753189.4157909527,-3.3301401138305664,-44960.05068364807,-50.729275860308114,-1.7243512142345606e+33,3081.721861370026,1751.2280404285411,6134.803089141846,56.770694732666016,0.0001,0.0,0.0001,0.0001,39.87445068359375,13.190988540649414,83.19055938720703,12.891240119934082,,,,,-3.881706953048706,4.2183403968811035,10.0,-21.67519760131836
3,1.0,378.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,1.2257256507873535,,,,-1633500.243890207,-3.0923030376434326,-28758.69852683535,-50.162755478302245,-5297079666048.344,3025.696440711854,1898.2932884342056,6332.004096984863,49.706443786621094,0.0001,0.0,0.0001,0.0001,50.2633171081543,20.989715576171875,124.4924087524414,20.258575439453125,,,,,-8.17672348022461,6.073309421539307,10.0,-32.472503662109375
4,1.0,504.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,1.7764317989349365,,,,-1633367.4091264284,-3.0938878059387207,-28733.779263737786,-12.718583724493968,-5266695679047.755,3956.7248721955316,2381.3711009193194,8063.906299591064,49.78302001953125,0.0001,0.0,0.0001,0.0001,67.95500946044922,24.653261184692383,153.10455322265625,21.581098556518555,,,,,-11.915708541870117,7.649382591247559,10.0,-42.737770080566406
5,1.0,630.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,2.3635337352752686,,,,-7516713.321914708,-4.116548538208008,-649557.6634210513,-50.72926933640489,-4.02577920443214e+16,5123.430620314583,2950.5351544475657,10435.172801971436,71.48773193359375,0.0001,0.0,0.0001,0.0001,91.57283782958984,30.186222076416016,221.74691772460938,36.25479507446289,,,,,-15.2196626663208,9.016797065734863,10.0,-47.55097198486328
6,1.0,756.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,2.916283369064331,,,,-9038022.337387066,-4.68439245223999,-555120.1350589565,-50.72927043283479,-1.132497991991002e+16,5798.549837990413,3489.1779879720357,12021.69002532959,67.08750915527344,0.0001,0.0,0.0001,0.0001,109.9291763305664,40.563133239746094,296.389892578125,49.2725944519043,,,,,-17.61237144470215,10.170350074768066,10.0,-52.49690628051758
7,1.0,882.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,3.5174810886383057,,,,-8956608.017771892,-5.1042399406433105,-563068.3934993015,-2.802247016396709,-1.1226049185669546e+16,6852.939072745187,3969.7948210445297,13630.672412872314,103.44847869873047,0.0001,0.0,0.0001,0.0001,115.08969116210938,41.20989990234375,308.1443176269531,45.6117057800293,,,,,-19.416990280151367,11.272835731506348,10.0,-55.496070861816406
8,1.0,1008.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,4.139349699020386,,,,-8228186.085523308,-4.972541809082031,-664455.8624067958,-2.3122772748180367,-1.1322301110593124e+16,7743.5880446661085,4530.946459525799,15432.374179840088,103.397705078125,0.0001,0.0,0.0001,0.0001,134.20542907714844,48.542991638183594,377.43316650390625,57.443992614746094,,,,,-20.524890899658203,12.19804859161377,10.0,-58.37153244018555
9,1.0,1134.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,5.182356834411621,,,,-8316668.258800138,-5.012043476104736,-678920.2358342169,-5.370531233000967,-1.1323546878787254e+16,8216.753528716072,4853.6690945514265,16700.171669006348,83.60520935058594,0.0001,0.0,0.0001,0.0001,139.3262939453125,45.894927978515625,274.2945861816406,51.19941711425781,,,,,-21.50766372680664,13.144436836242676,10.0,-60.7802619934082
10,1.0,1260.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,5.816723346710205,,,,-8331911.166099436,-5.076333045959473,-682620.1326036819,6.916526612990639,-1.1325968732353594e+16,8464.136929466611,4949.689589836383,17087.891899108887,108.5282211303711,0.0001,0.0,0.0001,0.0001,151.14739990234375,56.74235534667969,434.6255187988281,65.89505004882812,,,,,-21.86575698852539,13.854480743408203,10.0,-60.32673645019531
11,1.0,1386.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,6.411910772323608,,,,-8503935.325201558,-5.360129356384277,-706938.1075748063,7.718732283072479,-1.1329580556326324e+16,9092.357621510824,5197.969076477747,18061.556022644043,105.30509948730469,0.0001,0.0,0.0001,0.0001,161.56398010253906,69.90294647216797,526.631103515625,52.598392486572266,,,,,-22.22384262084961,14.70844841003418,10.13311767578125,-61.97674560546875
12,1.0,1512.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,7.037388801574707,,,,-8184686.945614101,-5.671106338500977,-670691.9220674582,7.727904753314816,-1.1335539277777516e+16,9629.915120987665,5501.798640562798,19021.00873565674,124.51881408691406,0.0001,0.0,0.0001,0.0001,176.4791259765625,63.01774597167969,392.4059143066406,73.39558410644531,,,,,-22.58186149597168,15.576079368591309,10.265262603759766,-61.885215759277344
13,1.0,1638.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,7.646032333374023,,,,-8923381.603215259,-6.212051868438721,-771031.6929523256,7.732432960946149,-1.1348421310879582e+16,9727.325038667708,5578.459532753763,19395.695392608643,185.5879364013672,0.0001,0.0,0.0001,0.0001,177.95889282226562,56.03472900390625,398.69891357421875,82.95225524902344,,,,,-22.35301971435547,16.24837875366211,10.533848762512207,-60.87991714477539
14,1.0,1764.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,8.206892013549805,,,,-13273686.793449504,-6.212067604064941,-1356708.876791004,7.760464249772312,-1.1355310155530818e+16,10531.95538965861,5956.890702108508,20332.264472961426,158.11764526367188,0.0001,0.0,0.0001,0.0001,184.002197265625,54.647220611572266,410.9305114746094,56.63650131225586,,,,,-22.414819717407227,16.970979690551758,10.478128433227539,-61.340702056884766
15,1.0,1890.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,8.879677772521973,,,,-14794110.923786523,-6.190643310546875,-1558761.2974952096,7.772603917675692,-1.136417843212628e+16,10482.681549738323,6394.931946803846,21630.36890411377,188.49880981445312,0.0001,0.0,0.0001,0.0001,202.61599731445312,67.87088012695312,455.6929016113281,69.27310180664062,,,,,-22.550870895385742,17.79293441772461,10.54967212677002,-63.52693176269531
16,1.0,2016.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,9.500466108322144,,,,-14985175.11055289,-6.384883880615234,-1594689.768297009,7.526249092465907,-1.1359080134599766e+16,11475.543666294643,6560.4693296752575,22904.654495239258,242.5303955078125,0.0001,0.0,0.0001,0.0001,207.3957061767578,70.32816314697266,550.4176635742188,84.20030975341797,,,,,-23.404491424560547,18.74962043762207,10.46629524230957,-65.342041015625
17,1.0,2142.0,0.0,0.0,10029.0,1427.0,0.0,0.0,0.0,0.0,0.0,10.148737668991089,,,,-13600127.241266457,-6.40481424331665,-1424694.0957403155,7.522173029056084,-1.1352025063019262e+16,11982.680805751255,6629.330197896168,23468.39786529541,172.38536071777344,0.0001,0.0,0.0001,0.0001,219.6336212158203,76.57355499267578,537.7391357421875,81.04194641113281,,,,,-23.417987823486328,19.43596076965332,10.6478853225708,-65.342041015625
