Epoch,Update Target Network,Training Iter,Episode #,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,103.0,0.0,0.0,8190.0,1549.0,0.0,0.0,0.0,0.0,0.0,0.003315448760986328,,,,,,,,,2777.298122609703,1535.0284509135122,5340.060583114624,52.82920837402344,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,15.664615631103516,4.084385395050049,44.495445251464844,8.953627586364746,,,,,-1.048152208328247,3.056313991546631,10.0,-13.296150207519531
2,1.0,206.0,0.0,0.0,8190.0,1549.0,0.0,0.0,0.0,0.0,0.0,0.5883927345275879,,,,-468526.44394317264,-3.706284284591675,-23362.03635180833,-50.878544537176204,-1.6682050297934828e+27,2530.599039022205,1368.229635755576,4825.475751876831,58.79423522949219,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,23.085830688476562,5.974710941314697,48.036678314208984,13.086745262145996,,,,,-2.671093463897705,3.4840493202209473,10.0,-16.531068801879883
3,1.0,309.0,0.0,0.0,8190.0,1549.0,0.0,0.0,0.0,0.0,0.0,1.0924458503723145,,,,-436139.52403799,-3.6090450286865234,-22961.463545834256,-50.7191261231543,-117205112466422.05,2436.9194802219426,1331.8811324238625,4670.620559692383,70.25476837158203,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,31.02859115600586,8.978468894958496,67.47882080078125,15.989696502685547,,,,,-4.615333557128906,4.27268648147583,10.0,-19.95083236694336
4,1.0,412.0,0.0,0.0,8190.0,1549.0,0.0,0.0,0.0,0.0,0.0,1.9847919940948486,,,,-1748975.5952284534,-4.877824783325195,-9575.270236824266,-50.72921805864876,3.1468860886008045e+17,2624.9262020518477,1427.7857113144896,5042.771188735962,52.95376968383789,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,38.08207702636719,9.370987892150879,72.90120697021484,19.83871841430664,,,,,-6.201879024505615,5.148122787475586,10.0,-21.3702392578125
5,1.0,515.0,0.0,0.0,8190.0,1549.0,0.0,0.0,0.0,0.0,0.0,2.895110607147217,,,,-2043930.1815974675,-6.088908672332764,5712.589987826945,-50.66276226268962,-4.399597535687204e+17,2666.0471963975037,1497.7401255751163,5324.724388122559,43.47451400756836,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,43.33477783203125,11.31051254272461,97.60057067871094,24.833908081054688,,,,,-7.1355414390563965,5.96115779876709,10.0,-22.468172073364258
6,1.0,618.0,0.0,0.0,8190.0,1549.0,0.0,0.0,0.0,0.0,0.0,3.3881289958953857,,,,-2090270.8899465974,-6.13947057723999,9796.394084878057,-31.81648459776795,-586924324880247.1,2821.0769617580672,1600.7071944401853,5652.094581604004,53.728477478027344,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,47.589393615722656,13.199773788452148,107.85199737548828,25.762861251831055,,,,,-7.716619491577148,6.69289493560791,10.0,-24.94074821472168
7,1.0,721.0,0.0,0.0,8190.0,1549.0,0.0,0.0,0.0,0.0,0.0,4.295125722885132,,,,-1391666.0132938926,-6.09317684173584,45052.563708547554,-41.14066593397785,-1.4050268726369772e+18,2955.517501349588,1630.2488038395772,5801.195533752441,74.1202621459961,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,49.765804290771484,13.748909950256348,91.27909851074219,27.12192726135254,,,,,-7.903775215148926,7.203815937042236,10.0,-27.53211212158203
8,1.0,824.0,0.0,0.0,8190.0,1549.0,0.0,0.0,0.0,0.0,0.0,5.216304540634155,,,,-1675485.710651976,-6.413179397583008,162540.0340892595,-41.1406772693311,-6.787152737890176e+20,2896.4466757172518,1634.88694635643,5754.285640716553,50.9280891418457,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,55.37058639526367,16.10555648803711,110.86882019042969,26.623979568481445,,,,,-7.919528484344482,7.6339240074157715,10.0,-30.63010025024414
9,1.0,927.0,0.0,0.0,8190.0,1549.0,0.0,0.0,0.0,0.0,0.0,5.71865439414978,,,,-1743228.6481470135,-6.813484191894531,170529.3026018701,-41.1406772693311,-3.7409574175086785e+25,2996.7410799785725,1676.7521113779749,5840.430587768555,69.70954132080078,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,57.29267501831055,17.23041534423828,127.09967803955078,29.655662536621094,,,,,-8.103939056396484,8.159146308898926,10.0,-33.89067077636719
